Time (sec),Calcium(AU)
14.56,-0.11
7.28,-0.02
22.13,-0.1
27.81,-0.06
33.5,0.01
39.18,0.01
44.86,0.08
50.55,0.12
56.23,0.16
61.92,0.23
67.61,0.31
73.3,0.42
77.51,0.7
82.86,1.01
88.57,1.26
94.65,1.39
99.98,1.59
104.19,1.92
110.01,2.21
115.23,2.35
121.38,2.35
126.61,2.5
132.33,2.8
138.53,3.1
144.17,3.47
141.85,3.13
149.54,3.94
147.59,3.58
153.76,4.27
159.11,4.59
157.17,4.3
163.33,4.94
169.06,5.29
166.74,4.97
174.38,5.43
180.08,5.61
185.76,5.6
190.94,5.47
197.55,5.42
202.74,5.33
207.91,5.11
210.26,4.97
215.45,4.92
217.79,4.78
223.48,4.81
229.15,4.77
234.81,4.7
240.47,4.59
246.13,4.51
249.89,4.33
255.54,4.17
261.2,4.07
265.42,3.84
270.61,3.73
276.27,3.61
281.93,3.52
286.15,3.29
291.71,3.17
296.52,3.04
298.85,2.85
304.05,2.82
308.28,2.68
313.57,2.59
319.13,2.48
321.94,2.26
327.13,2.18
332.79,2.07
338.92,1.99
343.74,1.93
349.78,1.85
353.92,1.69
358.84,1.71
362.98,1.57
369.13,1.54
373.83,1.38
379.51,1.38
384.21,1.18
389.41,1.16
395.08,1.16
400.27,1.05
406.4,0.96
411.6,0.94
417.36,0.85
423.89,0.88
429.09,0.83
434.29,0.83
437.1,0.66
442.33,0.79
448.01,0.83
451.81,0.94
